year,normalization_mean,cutoff_normalized,cutoff_income_adj,cutoff_quantile,n_total,n_body,n_tail,body_fraction,tail_fraction,gompertz_A,gompertz_B,gompertz_r2,pareto_alpha,pareto_beta,pareto_r2,body_sse_logF,tail_sse_logF,joint_sse
1976,1099.945831116976,6.129358732081494,6741.962584773473,0.9787515078814182,148387,145234,3153,0.9787515078814182,0.021248492118581815,1.5271796258079011,0.3076861479676158,0.9923262123848922,2.048807697149052,82.53558758035065,0.9926089415791666,1.692466843167775,2.148736171175666,3.8412030143434412
1977,1115.7858565874644,4.743119612810274,5292.305780076314,0.9647800828155204,192959,186163,6796,0.9647800828155204,0.0352199171844796,1.5271796258079011,0.3187398225718221,0.9871102468307688,1.7492190568832273,42.03395501263566,0.978680474956142,1.7125966263327363,6.824366524599231,8.536963150931967
1978,1118.917816361111,7.831924141122752,8763.279457890938,0.9861007441062611,215695,212697,2998,0.9861007441062611,0.013899255893738844,1.5271796258079011,0.3003434007612665,0.9924386039807929,2.4230744488194316,227.09957288879133,0.9802979977063221,1.726804436316176,6.5002342059082565,8.227038642224432
1979,1520.2830793853295,7.08685479894331,10774.025436894237,0.9906576958761985,171371,169770,1601,0.9906576958761985,0.009342304123801578,1.5271796258079011,0.4738201992727571,0.9616687401771792,0.6835951615031554,4.476956060832561,-0.8651719576868664,1.648053555063585,8.042827954041588,9.690881509105173
1981,338.6739752811485,7.610101923138315,2577.3434706039666,0.9886911846301764,472198,466858,5340,0.9886911846301764,0.011308815369823675,1.5271796258079011,0.3253848978678312,0.9863468532045738,3.185851108332957,946.4569607998236,0.9806988896297413,0.8994772904361518,4.874310763035328,5.773788053471479
1982,810.2245411619291,6.874479998567863,5569.872402566506,0.9839348304285818,206845,203522,3323,0.9839348304285818,0.016065169571418212,1.5271796258079011,0.30492925705480556,0.994895556521049,2.863842179687581,440.10946237924975,0.9966713450143609,0.9495280629970488,0.9465076380285895,1.8960357010256383
1983,201.27922208498336,7.384609200896767,1486.368395358112,0.9876629171218542,499794,493628,6166,0.9876629171218542,0.012337082878145797,1.5271796258079011,0.31866289173118323,0.9899592908058304,2.8085786502600603,425.49541814697517,0.993755350827362,0.8395085020668833,2.5600931954718975,3.399601697538781
1984,173.89547517905243,7.931441972284887,1379.2418706255612,0.9890666190957563,504510,498994,5516,0.9890666190957563,0.010933380904243721,1.5271796258079011,0.3293798565317951,0.9783921535656139,3.376162601927257,1524.2887667104517,0.9930567233009273,1.1709334487068683,1.8218236027531811,2.9927570514600497
1985,190.0018310308094,9.256870223434346,1758.8222920671035,0.9924105831714115,514137,510235,3902,0.9924105831714115,0.007589416828588489,1.5271796258079011,0.3459845560155578,0.9570335348785937,3.0857046109484743,1157.5100632304998,0.9818699336128996,1.9318375290288536,7.155911803854364,9.087749332883218
1986,283.0933300464876,3.893991821761571,1102.363111996272,0.9580209895052474,284142,272214,11928,0.9580209895052474,0.041979010494752625,1.5271796258079011,0.31347982373727135,0.9953938193095324,2.1409408541493558,71.4587087478081,0.9875572243192116,0.5857151278520726,7.33587180434837,7.921586932200443
1987,226.79551598299238,7.581753565751928,1719.5077120006008,0.9877073970917417,292615,289018,3597,0.9877073970917417,0.012292602908258291,1.5271796258079011,0.3195656403323178,0.9923744378186529,2.699372289413353,356.58229489158174,0.9851442243212495,0.6255145462242709,4.2759061507795595,4.9014206970038305
1988,248.49461461924582,8.380548344611311,2082.521131192146,0.9887650923755235,289633,286379,3254,0.9887650923755235,0.011234907624476492,1.5271796258079011,0.31064194640503745,0.9896564977144003,2.678261327588269,417.6526465339984,0.9928128489750827,1.1427516523491021,2.2051868314931284,3.3479384838422304
1989,2353.9170185794796,10.121653642130013,23825.532764376814,0.9895963635722969,113518,112337,1181,0.9895963635722969,0.010403636427703096,1.5271796258079011,0.32079943760030294,0.9567930586978787,2.1448815514477384,171.36618534212408,0.9905573695626814,2.889933350918325,2.1485643496068683,5.038497700525193
1990,2620.227696943567,8.696314997869298,22786.32541876287,0.9881995691631557,115589,114225,1364,0.9881995691631557,0.011800430836844336,1.5271796258079011,0.3042820433359422,0.9898034080261717,2.2396250178783106,176.03893219995726,0.9921134373293696,1.7585327029961708,3.0905359614200782,4.849068664416249
