year,median_log1p,mad_log1p,scaled_dispersion_log1p,dispersion_method,mad_consistency,threshold_k,statistical_cutoff,n_refined,n_invalid_nan,n_invalid_inf,n_invalid_negative,n_invalid_structural,n_valid_before_trim,n_statistical_outlier,n_removed_total,n_trusted,structural_invalid_rate,statistical_removal_rate,total_removal_rate,maximum_valid_before_trim,maximum_after,raw_n,raw_n_nan,raw_n_inf,raw_n_negative,raw_n_zero,raw_n_positive,raw_min,raw_max,raw_mean,raw_median,raw_std,raw_q01,raw_q25,raw_q50,raw_q75,raw_q99,raw_sum,valid_n,valid_n_nan,valid_n_inf,valid_n_negative,valid_n_zero,valid_n_positive,valid_min,valid_max,valid_mean,valid_median,valid_std,valid_q01,valid_q25,valid_q50,valid_q75,valid_q99,valid_sum,trusted_n,trusted_n_nan,trusted_n_inf,trusted_n_negative,trusted_n_zero,trusted_n_positive,trusted_min,trusted_max,trusted_mean,trusted_median,trusted_std,trusted_q01,trusted_q25,trusted_q50,trusted_q75,trusted_q99,trusted_sum,input_file,output_file,read_seconds,trim_seconds,write_seconds,total_seconds
1976,6.90875477931522,0.6921486782303559,1.0261796303443256,scaled_mad,1.4826,6.0,472517.6808766022,148396,0,0,0,0,148396,9,9,148387,0.0,6.064853500094342e-05,6.064853500094342e-05,999999.0,405544.0,148396,0,0,0,0,148396,1.0,999999.0,2257.742526752743,1000.0,8285.144327925911,100.0,560.0,1000.0,2000.0,20000.0,335039960.0,148396,0,0,0,0,148396,1.0,999999.0,2257.742526752743,1000.0,8285.144327925911,100.0,560.0,1000.0,2000.0,20000.0,335039960.0,148387,0,0,0,0,148387,1.0,405544.0,2210.5394946996703,1000.0,5429.8406754534,100.0,560.0,1000.0,2000.0,20000.0,328015324.0,pnad_refined_1976.parquet,pnad_trusted_1976.parquet,0.01941759300001422,0.05683117600000287,0.00679438399998844,0.08304315300000553
1977,7.183111701743281,0.7046020595347118,1.0446430134661637,scaled_mad,1.4826,6.0,694514.5162504349,193886,0,0,0,0,193886,927,927,192959,0.0,0.00478116006312988,0.00478116006312988,1119000.0,692500.0,193886,0,0,0,0,193886,1.0,1119000.0,7912.467238480344,1316.0,69386.84298927562,110.0,750.0,1316.0,3000.0,40000.0,1534116623.0,193886,0,0,0,0,193886,1.0,1119000.0,7912.467238480344,1316.0,69386.84298927562,110.0,750.0,1316.0,3000.0,40000.0,1534116623.0,192959,0,0,0,0,192959,1.0,692500.0,3149.400121269285,1300.0,9574.306100144884,110.0,740.0,1300.0,3000.0,30000.0,607705098.0,pnad_refined_1977.parquet,pnad_trusted_1977.parquet,0.004707143000018732,0.060981660999971155,0.0057785789999798,0.07146738299996969
1978,7.601402334583733,0.692897274273502,1.027289498837894,scaled_mad,1.4826,6.0,950875.364802797,216329,0,0,0,0,216329,634,634,215695,0.0,0.002930721262521437,0.002930721262521437,1099998.0,830000.0,216329,0,0,0,0,216329,1.0,1099998.0,7290.615391371476,2000.0,54720.424266702576,150.0,1000.0,2000.0,4140.0,46977.040000000095,1577171537.0,216329,0,0,0,0,216329,1.0,1099998.0,7290.615391371476,2000.0,54720.424266702576,150.0,1000.0,2000.0,4140.0,46977.040000000095,1577171537.0,215695,0,0,0,0,215695,1.0,830000.0,4371.611187092886,2000.0,9782.350359726359,150.0,1000.0,2000.0,4050.0,40000.0,942934675.0,pnad_refined_1978.parquet,pnad_trusted_1978.parquet,0.00392583799998647,0.05196099699998058,0.04007906700002195,0.095965901999989
1979,8.006700845440367,0.6928140138069052,1.0271660568701175,scaled_mad,1.4826,6.0,1425020.1114974446,171371,0,0,0,0,171371,0,0,171371,0.0,0.0,0.0,1029998.0,1029998.0,171371,0,0,0,0,171371,1.0,1029998.0,10043.751346493864,3000.0,58426.34168721229,200.0,1709.0,3000.0,6900.0,70000.0,1721207712.0,171371,0,0,0,0,171371,1.0,1029998.0,10043.751346493864,3000.0,58426.34168721229,200.0,1709.0,3000.0,6900.0,70000.0,1721207712.0,171371,0,0,0,0,171371,1.0,1029998.0,10043.751346493864,3000.0,58426.34168721229,200.0,1709.0,3000.0,6900.0,70000.0,1721207712.0,pnad_refined_1979.parquet,pnad_trusted_1979.parquet,0.00328089300001011,0.04196610500002862,0.13460384599994768,0.1798508439999864
1981,8.517393171418904,0.6930471955576127,1.0275117721337166,scaled_mad,1.4826,6.0,2379648.5912030186,479110,6912,0,0,6912,472198,0,6912,472198,0.014426749598213355,0.0,0.014426749598213355,830000.0,830000.0,479110,6912,0,0,0,472198,0.09090909090909091,830000.0,10238.12861593576,5000.0,17716.634593001138,500.0,2560.0,5000.0,10482.0,82000.0,4834423856.187634,472198,0,0,0,0,472198,0.09090909090909091,830000.0,10238.12861593576,5000.0,17716.634593001138,500.0,2560.0,5000.0,10482.0,82000.0,4834423856.187634,472198,0,0,0,0,472198,0.09090909090909091,830000.0,10238.12861593576,5000.0,17716.634593001138,500.0,2560.0,5000.0,10482.0,82000.0,4834423856.187634,pnad_refined_1981.parquet,pnad_trusted_1981.parquet,0.006929446000015105,0.19928912800003218,0.022765771999956996,0.22898434600000428
1982,10.12667110305036,0.6931271811599267,1.0276303587877071,scaled_mad,1.4826,6.0,11904811.115266629,206845,0,0,0,0,206845,0,0,206845,0.0,0.0,0.0,5150000.0,5150000.0,206845,0,0,0,0,206845,1.0,5150000.0,49336.371374700866,25000.0,88324.41086880892,1200.0,13000.0,25000.0,50000.0,404000.0,10204981737.0,206845,0,0,0,0,206845,1.0,5150000.0,49336.371374700866,25000.0,88324.41086880892,1200.0,13000.0,25000.0,50000.0,404000.0,10204981737.0,206845,0,0,0,0,206845,1.0,5150000.0,49336.371374700866,25000.0,88324.41086880892,1200.0,13000.0,25000.0,50000.0,404000.0,10204981737.0,pnad_refined_1982.parquet,pnad_trusted_1982.parquet,0.0031773449999832337,0.046307225000020935,0.02053799700001946,0.07002256700002363
1983,9.924738710037618,0.7142983430611007,1.0590187234223878,scaled_mad,1.4826,6.0,11743975.755540838,508216,8419,0,0,8419,499797,0,8419,499797,0.01656579092354432,0.0,0.01656579092354432,7000000.0,7000000.0,508216,8419,0,0,3,499794,0.0,7000000.0,43713.015742401374,20428.571428571428,81150.83862496793,2311.1111111111113,10462.666666666666,20428.571428571428,44782.28571428572,350000.0,21847634129.00498,499797,0,0,0,3,499794,0.0,7000000.0,43713.015742401374,20428.571428571428,81150.83862496793,2311.1111111111113,10462.666666666666,20428.571428571428,44782.28571428572,350000.0,21847634129.00498,499797,0,0,0,3,499794,0.0,7000000.0,43713.015742401374,20428.571428571428,81150.83862496793,2311.1111111111113,10462.666666666666,20428.571428571428,44782.28571428572,350000.0,21847634129.00498,pnad_refined_1983.parquet,pnad_trusted_1983.parquet,0.007626471999969908,0.088254151000001,0.045520956000018487,0.1414015789999894
1984,11.002116507732017,0.6931388473307774,1.0276476550526104,scaled_mad,1.4826,6.0,28573846.604990292,511389,6846,0,0,6846,504543,0,6846,504543,0.013387069334694333,0.0,0.013387069334694333,9999998.0,9999998.0,511389,6846,0,0,33,504510,0.0,9999998.0,123746.92207625261,60000.0,213075.30715878782,6600.0,31000.0,60000.0,125827.9,1000875.0,62435643305.11872,504543,0,0,0,33,504510,0.0,9999998.0,123746.92207625261,60000.0,213075.30715878782,6600.0,31000.0,60000.0,125827.9,1000875.0,62435643305.11872,504543,0,0,0,33,504510,0.0,9999998.0,123746.92207625261,60000.0,213075.30715878782,6600.0,31000.0,60000.0,125827.9,1000875.0,62435643305.11872,pnad_refined_1984.parquet,pnad_trusted_1984.parquet,0.009363615000040681,0.1116467669999679,0.08679892500003916,0.20780930700004774
1985,12.316425180300955,0.7189173655235948,1.0658668861252816,scaled_mad,1.4826,6.0,133769200.6337102,519783,5646,0,0,5646,514137,0,5646,514137,0.010862225197822938,0.0,0.010862225197822938,75000000.0,75000000.0,519783,5646,0,0,0,514137,4.0,75000000.0,472656.95313793456,223333.33333333334,900141.4286116081,20909.090909090908,112500.0,223333.33333333334,482333.3333333333,3945001.7600001856,243010427915.47827,514137,0,0,0,0,514137,4.0,75000000.0,472656.95313793456,223333.33333333334,900141.4286116081,20909.090909090908,112500.0,223333.33333333334,482333.3333333333,3945001.7600001856,243010427915.47827,514137,0,0,0,0,514137,4.0,75000000.0,472656.95313793456,223333.33333333334,900141.4286116081,20909.090909090908,112500.0,223333.33333333334,482333.3333333333,3945001.7600001856,243010427915.47827,pnad_refined_1985.parquet,pnad_trusted_1985.parquet,0.010993720000044505,0.09301525000000765,0.17745036599995956,0.2814593360000117
1986,6.481959904400722,0.7043075811780657,1.0442064198546002,scaled_mad,1.4826,6.0,343586.95855524036,287320,3178,0,0,3178,284142,0,3178,284142,0.011060838089934568,0.0,0.011060838089934568,334666.6666666667,334666.6666666667,287320,3178,0,0,0,284142,0.16666666666666666,334666.6666666667,1329.1840383692063,652.25,2830.9573725994533,66.66666666666667,333.3333333333333,652.25,1350.5,10400.0,377677011.030303,284142,0,0,0,0,284142,0.16666666666666666,334666.6666666667,1329.1840383692063,652.25,2830.9573725994533,66.66666666666667,333.3333333333333,652.25,1350.5,10400.0,377677011.030303,284142,0,0,0,0,284142,0.16666666666666666,334666.6666666667,1329.1840383692063,652.25,2830.9573725994533,66.66666666666667,333.3333333333333,652.25,1350.5,10400.0,377677011.030303,pnad_refined_1986.parquet,pnad_trusted_1986.parquet,0.005491065000001072,0.04536269199996923,0.18043622300001516,0.23128997999998546
