year,layer,bootstrap_reps,gompertz_B_bootstrap_se,gompertz_A_free_bootstrap_se,gompertz_B_free_bootstrap_se,pareto_alpha_ls_bootstrap_se,pareto_beta_ls_bootstrap_se,pareto_alpha_mle_bootstrap_se,pareto_beta_mle_bootstrap_se
1978,refined,1000,0.024322919950309746,0.008007475660642902,0.02638488732469139,4.129451503457959,4.4942359126117815e+53,0.0045170455737266885,0.4242749061251123
1979,refined,1000,0.05002338609586257,0.018370844226579194,0.05555993633353513,0.3488255177171259,7.790783720177381,0.022579470052847574,0.29373634689235595
1981,refined,1000,0.01879874263567517,0.005356568811870695,0.01936496093698337,0.13726997657812265,580.4427735867147,0.032896147163922446,16.197362106953705
1982,refined,1000,0.014328711662934871,0.004610768854526819,0.015272896499915015,0.04075159019273494,56.81107475573701,0.05578732104608809,63.64337736402374
1983,refined,1000,0.04389191659840066,0.017696199684460193,0.04692471451010617,0.058000727789324955,84.35427738229497,0.032495471186894935,14.818061357583323
1984,refined,1000,0.025939523670732084,0.00835624678275171,0.02673166169252921,0.0680839433240348,464.30880906169557,0.03264186611476085,21.851323274755224
1985,refined,1000,0.018025050066511644,0.0055310544444350665,0.019574571034729697,0.08592776194869961,277.3016894878277,0.030526417341891685,12.74735037016857
1986,refined,1000,0.015751188332500565,0.005733808357470793,0.016336865535174997,0.050261993703203126,10.508838028847888,0.04064637767157919,12.44232380532129
1987,refined,1000,0.017752059996064013,0.008509576811484712,0.01924164464006608,0.05591933663682319,64.61058672673262,0.04030869618855635,15.524817994365653
1988,refined,1000,0.025589039152813874,0.01052489172354373,0.02693848409503928,0.05366254147388431,70.21980606797065,0.04031269712827856,17.6452790413729
1989,refined,1000,0.02416240394627576,0.01423882221077407,0.027279967035683833,0.05296593500700105,33.520969445676165,0.05535520406984204,12.66476799718323
1990,refined,1000,0.013381097920112217,0.0066159189162336785,0.014887110315332915,0.032415772297808884,15.669703664566317,0.05058722408149834,12.395493790840197
1992,refined,1000,0.02235618742189524,0.005313378530900389,0.02315292882933987,0.039557931374365723,11.132307387407433,0.08467226988097316,28.862581307329503
1993,refined,1000,0.013315471303154044,0.004509094511553244,0.014839656276400328,0.044599626400658704,17.63261152352691,0.07406935480757461,27.13953965299856
1995,refined,1000,0.03625236218499138,0.021474208806890976,0.040679842957713465,0.0833673123773054,192.1617833217215,0.07240738936236332,30.068387921082362
1996,refined,1000,0.02609216628371466,0.014104378286274132,0.02981964633541936,0.07822217657323048,211.99174491720152,0.07466690230373177,35.04868929743754
1997,refined,1000,0.01606839869348092,0.007781911614408482,0.017311546844393313,0.0541786911615534,36.076983028243106,0.06978215872699928,24.47293528614817
1998,refined,1000,0.016657015638080544,0.008620164805843065,0.018445926305544164,0.03479633586178198,27.876975175000346,0.06770296701065986,29.865312347547185
1999,refined,1000,0.028625143290714687,0.016491983866291467,0.03296440480126647,0.06971934282925767,285.6931001030419,0.06503466146997326,24.39910061479706
2001,refined,1000,0.044668447555102964,0.02421602618326043,0.04855364463036956,0.06641919215447481,183.1269081333239,0.06191965051763662,24.33299631688539
2002,refined,1000,0.04632414068947068,0.02328122068978588,0.05124605102526874,0.11335952398917931,18.358741036088116,0.07201565635283395,34.89319196849749
2003,refined,1000,0.02253025883637286,0.010161705454980016,0.024342477673039757,0.053996303781024255,113.318919590212,0.06835144421479476,37.825467031592886
2004,refined,1000,0.03826939685964496,0.0235169359439619,0.04296930891228449,0.03656355886530339,32.06642841206601,0.0757437324699334,46.96260586858266
2005,refined,1000,0.012020456682140516,0.0063112061331236,0.012991422580207168,0.03964872279571698,46.292150308139654,0.06258010517766893,27.64083549569965
2006,refined,1000,0.05321637659129234,0.03050234531752932,0.05795780644337953,0.06191728330267573,32.105150540984596,0.07207044954478938,38.83436588026435
2007,refined,1000,0.01885305126323361,0.009837858676393621,0.02034804436386726,0.0659981665469707,88.9165862177783,0.06597936449108135,29.372832920976162
2008,refined,1000,0.031975151313484516,0.01926472658015932,0.035717679483929246,0.06174065849381084,26.97112026730308,0.068005712436204,23.59105296547732
2009,refined,1000,0.03932700039247829,0.02121725644015902,0.043658452968363404,0.038224107547356403,18.85733015327003,0.06600058509126032,24.53249927301432
2011,refined,1000,0.01866108607464959,0.009163936322434228,0.020667006376991513,0.04787950842416375,23.58904571108468,0.06112088843276265,20.295442489846646
2012,refined,1000,0.02917324108703566,0.013452123676040097,0.03150840779034724,0.07051272251081966,5.940626054002758,0.06266458959322077,12.32270237545181
2013,refined,1000,0.017202009101524415,0.0077424848322959925,0.018594267125182206,0.048840962560380695,27.43130415872546,0.06666680074119595,28.961148308412362
2014,refined,1000,0.026389711756511277,0.01182602940869583,0.028379090409470335,0.11004542874630137,20.479567678661464,0.06617502906158439,23.4410441742841
2015,refined,1000,0.01795686143528125,0.010288320643602623,0.019533656746826153,0.12395584775468586,1.2201528160473116,0.5397912499197354,6685981.831342567
2016,refined,1000,0.03981797635936262,0.020585591577663008,0.04392169352634693,0.08785854625695903,202.13309832510336,0.03358304730118698,5.49502202305803
2017,refined,1000,0.04210416037068761,0.02162188589887252,0.0446150072540173,0.05842388243277885,54.22612477211004,0.03944784283135004,7.093275118419631
2018,refined,1000,0.027798705940033856,0.014845384062716745,0.02873560529093177,0.036381860729455234,32.53204303224141,0.046466718303698064,15.149575710583624
