year,log_bin_ratio,normalization_mean_income_adj_2025_usd,positive_income_observation_n,gompertz_A,gompertz_B,gompertz_r2,gompertz_sse,gompertz_x_gmax,gompertz_point_n,gompertz_selection_status,gompertz_boundary_A_free,gompertz_boundary_B_free,gompertz_boundary_r2_free,gompertz_population_n,gompertz_population_pct,gompertz_ccdf_at_x_t_percent,bootstrap_reps,gompertz_B_bootstrap_se,gompertz_A_free_bootstrap_se,gompertz_B_free_bootstrap_se,exponential_intercept,exponential_alpha,exponential_r2,gompertz_income_share_pct
1976,1.1,1099.945831116976,148387,1.5271796258079011,0.3300577738230314,0.981965723580124,0.5934150720839548,8.297519708778417,80,largest_range_with_free_A_in_1.4_to_1.6,1.5368159551448082,0.3322733598770128,0.9821323062567408,146635,98.81930357780668,1.3468329850721594,,,,,,,,
1977,1.1,1115.7858565874644,192959,1.5271796258079011,0.3819060731357351,0.895130904854692,6.770111139134878,9.379553333695137,83,largest_range_with_free_A_in_1.4_to_1.6,1.5719743653957348,0.3910195053830375,0.8970585441540765,191003,98.98631315460796,1.1366688935904647,,,,,,,,
1978,1.1,1118.917816361111,215695,1.5271796258079011,0.3345166812704623,0.9635412691599587,1.564685996772118,8.993868302665566,95,largest_range_with_free_A_in_1.4_to_1.6,1.541422508638642,0.3375395026250344,0.9638910846598904,213339,98.90771691508844,1.255224975524347,1000.0,0.020747597662496186,0.01033258424046459,0.023719734760868486,4.436259686970118,0.6282552691050763,0.9078706562918395,83.69031619290065
1979,1.1,1520.2830793853295,171371,1.5271796258079011,0.5102815543167669,0.9187058407837138,5.246166487566672,6.935027877303481,103,largest_range_with_free_A_in_1.4_to_1.6,1.557840581430473,0.5187213617369253,0.9199004301882712,169623,98.97999078023705,1.1431292873881234,1000.0,0.05002338609586257,0.018370844226579194,0.05555993633353513,4.429009289005845,0.8429132986359619,0.9003272127268801,59.800922330517665
1981,1.1,338.6739752811485,472198,1.5271796258079011,0.3362212793378943,0.9732063787839208,0.7899853294941023,7.371242712382564,101,largest_range_with_free_A_in_1.4_to_1.6,1.5426976258399587,0.3402385293521328,0.97385992315513,466517,98.79690299408298,1.4714987663647576,1000.0,0.01879874263567517,0.005356568811870695,0.01936496093698337,4.523676721579541,0.7272225872341823,0.941435183747279,85.84720476113166
1982,1.1,810.2245411619291,206845,1.5271796258079011,0.3280447219242505,0.9832186731289422,0.5450801421699355,7.849559609203476,120,largest_range_with_free_A_in_1.4_to_1.6,1.536240201198786,0.3302483095104128,0.9834688894091989,204285,98.76235828760666,1.4200598234991888,1000.0,0.014328711662934871,0.004610768854526819,0.015272896499915015,4.5043550856523265,0.6954317697438213,0.9309497509768927,85.17953980734302
1983,1.1,201.27922208498336,499794,1.5271796258079011,0.3768244213191261,0.8997679377878144,4.7226292113790045,7.96710960176985,95,largest_range_with_free_A_in_1.4_to_1.6,1.5665094261996255,0.3862457931569002,0.9021977557546706,494618,98.96437332180858,1.2570575732843705,1000.0,0.04389191659840066,0.017696199684460193,0.04692471451010617,4.487115324639986,0.692998336695378,0.9360851213801408,86.46612531340745
1984,1.1,173.89547517905245,504510,1.5271796258079011,0.3482762211658424,0.9556580773170398,1.6309627814913037,7.82329475179977,104,largest_range_with_free_A_in_1.4_to_1.6,1.5489594592064022,0.3535904213867211,0.9567285726361447,498899,98.88783175754692,1.3524960224057565,1000.0,0.025939523670732084,0.00835624678275171,0.02673166169252921,4.5095902455306,0.701594226346219,0.9366643997816677,86.46456768297374
1985,1.1,190.0018310308094,514137,1.5271796258079011,0.3371839256732198,0.9736562886524748,0.865894271297945,7.72788415290446,106,largest_range_with_free_A_in_1.4_to_1.6,1.5411616906465446,0.3406375005349402,0.9741618891160012,508104,98.82657735195096,1.405077052254679,1000.0,0.018025050066511644,0.0055310544444350665,0.019574571034729697,4.513317086849439,0.7067441256113571,0.9354399087722729,84.87907535586164
1986,1.1,283.0933300464876,284142,1.5271796258079011,0.3394058346564101,0.9799474628998306,0.5457071088052965,7.218092203968127,84,largest_range_with_free_A_in_1.4_to_1.6,1.5454510365523644,0.3442358578517293,0.9807205808105148,280589,98.74956887753306,1.4880272571459108,1000.0,0.015751188332500565,0.005733808357470793,0.016336865535174997,4.50175462772775,0.7356766271754425,0.9403332153659704,84.22080517992408
