table_name,table_description,column_name,description,unit,source
statistics_annual.csv,"Annual sample counts, nominal and 2025-US$ income statistics, inequality indices, top-income shares, and external Gini comparisons.",year,PNAD or PNAD Contínua survey/reference year.,year,Stage 03 analytical pipeline
statistics_annual.csv,"Annual sample counts, nominal and 2025-US$ income statistics, inequality indices, top-income shares, and external Gini comparisons.",N,Total number of observations in the analytical annual sample.,count,Stage 03 analytical pipeline
statistics_annual.csv,"Annual sample counts, nominal and 2025-US$ income statistics, inequality indices, top-income shares, and external Gini comparisons.",N_valid,Number of observations with valid finite income values used in annual statistics.,count,Stage 03 analytical pipeline
statistics_annual.csv,"Annual sample counts, nominal and 2025-US$ income statistics, inequality indices, top-income shares, and external Gini comparisons.",n_nan,Number of observations with missing or non-numeric income.,count,Stage 03 analytical pipeline
statistics_annual.csv,"Annual sample counts, nominal and 2025-US$ income statistics, inequality indices, top-income shares, and external Gini comparisons.",n_zero,Number of observations with zero income.,count,Stage 03 analytical pipeline
statistics_annual.csv,"Annual sample counts, nominal and 2025-US$ income statistics, inequality indices, top-income shares, and external Gini comparisons.",n_negative,Number of observations with negative income.,count,Stage 03 analytical pipeline
statistics_annual.csv,"Annual sample counts, nominal and 2025-US$ income statistics, inequality indices, top-income shares, and external Gini comparisons.",xmin_positive_nominal,Smallest strictly positive income in the original nominal monetary scale.,nominal currency units,Stage 03 analytical pipeline
statistics_annual.csv,"Annual sample counts, nominal and 2025-US$ income statistics, inequality indices, top-income shares, and external Gini comparisons.",xmax_nominal,Largest income in the original nominal monetary scale.,nominal currency units,Stage 03 analytical pipeline
statistics_annual.csv,"Annual sample counts, nominal and 2025-US$ income statistics, inequality indices, top-income shares, and external Gini comparisons.",mean_nominal,Arithmetic mean income in the original nominal monetary scale.,nominal currency units,Stage 03 analytical pipeline
statistics_annual.csv,"Annual sample counts, nominal and 2025-US$ income statistics, inequality indices, top-income shares, and external Gini comparisons.",median_nominal,Median income in the original nominal monetary scale.,nominal currency units,Stage 03 analytical pipeline
statistics_annual.csv,"Annual sample counts, nominal and 2025-US$ income statistics, inequality indices, top-income shares, and external Gini comparisons.",std_nominal,Sample standard deviation of income in the original nominal monetary scale.,nominal currency units,Stage 03 analytical pipeline
statistics_annual.csv,"Annual sample counts, nominal and 2025-US$ income statistics, inequality indices, top-income shares, and external Gini comparisons.",income_sum_nominal,Sum of income in the original nominal monetary scale.,nominal currency units,Stage 03 analytical pipeline
