year,layer,bootstrap_reps,gompertz_B_bootstrap_se,gompertz_A_free_bootstrap_se,gompertz_B_free_bootstrap_se,pareto_alpha_ls_bootstrap_se,pareto_beta_ls_bootstrap_se,pareto_alpha_mle_bootstrap_se,pareto_beta_mle_bootstrap_se
1978,trusted,1000,0.020747597662496186,0.01033258424046459,0.023719734760868486,0.07461452660798149,38.74712557536922,0.0562160211713347,46.27902273437471
1979,trusted,1000,0.05002338609586257,0.018370844226579194,0.05555993633353513,0.3488255177171259,7.790783720177381,0.022579470052847574,0.29373634689235595
1981,trusted,1000,0.01879874263567517,0.005356568811870695,0.01936496093698337,0.13726997657812265,580.4427735867147,0.03289614716392244,16.197362106953705
1982,trusted,1000,0.014328711662934871,0.004610768854526819,0.015272896499915015,0.04075159019273495,56.811074755737,0.05578732104608809,63.64337736402374
1983,trusted,1000,0.04389191659840066,0.017696199684460193,0.04692471451010617,0.058000727789324955,84.35427738229497,0.03249547118689494,14.81806135758332
1984,trusted,1000,0.02593952367073208,0.00835624678275171,0.026731661692529208,0.0680839433240348,464.3088090616955,0.03264186611476085,21.851323274755224
1985,trusted,1000,0.018025050066511644,0.005531054444435069,0.0195745710347297,0.08592776194869964,277.3016894878277,0.03052641734189168,12.747350370168546
1986,trusted,1000,0.015751188332500565,0.005733808357470791,0.016336865535174997,0.05026199370320314,10.508838028847892,0.04064637767157919,12.44232380532129
1987,trusted,1000,0.017752059996064013,0.008509576811484712,0.01924164464006608,0.05591933663682319,64.61058672673262,0.04030869618855635,15.524817994365653
1988,trusted,1000,0.025589039152813874,0.01052489172354373,0.02693848409503928,0.05366254147388431,70.21980606797065,0.04031269712827856,17.6452790413729
1989,trusted,1000,0.02416240394627576,0.01423882221077407,0.027279967035683833,0.05296593500700105,33.520969445676165,0.05535520406984204,12.66476799718323
1990,trusted,1000,0.013381097920112217,0.0066159189162336785,0.014887110315332915,0.032415772297808884,15.669703664566317,0.05058722408149834,12.395493790840197
1992,trusted,1000,0.02235618742189524,0.005313378530900389,0.02315292882933987,0.039557931374365723,11.132307387407431,0.08467226988097316,28.862581307329503
1993,trusted,1000,0.013315471303154042,0.004509094511553245,0.01483965627640033,0.044599626400658704,17.632611523526908,0.07406935480757461,27.13953965299856
1995,trusted,1000,0.03625236218499138,0.021474208806890976,0.040679842957713465,0.0833673123773054,192.16178332172146,0.07240738936236332,30.068387921082362
1996,trusted,1000,0.02609216628371466,0.014104378286274132,0.02981964633541936,0.07822217657323048,211.99174491720154,0.07466690230373177,35.04868929743754
1997,trusted,1000,0.01606839869348092,0.0077819116144084806,0.017311546844393313,0.054178691161553404,36.076983028243106,0.06978215872699928,24.472935286148168
1998,trusted,1000,0.016657015638080544,0.008620164805843065,0.018445926305544164,0.03479633586178199,27.876975175000357,0.06770296701065986,29.865312347547185
1999,trusted,1000,0.028625143290714687,0.016491983866291467,0.03296440480126647,0.06971934282925767,285.6931001030419,0.06503466146997326,24.399100614797064
2001,trusted,1000,0.044668447555102964,0.02421602618326043,0.04855364463036956,0.06641919215447481,183.12690813332395,0.06191965051763662,24.33299631688539
2002,trusted,1000,0.046885620672072394,0.023659960123017423,0.05187499547629295,0.09549866761869408,139.32910397656775,0.06740942275772052,34.43016051439747
2003,trusted,1000,0.02253025883637286,0.010161705454980016,0.024342477673039757,0.053996303781024255,113.318919590212,0.06835144421479476,37.82546703159289
2004,trusted,1000,0.03826939685964496,0.0235169359439619,0.04296930891228449,0.036563558865303325,32.066428412065974,0.0757437324699334,46.96260586858266
2005,trusted,1000,0.012020456682140518,0.006311206133123599,0.012991422580207166,0.03964872279571698,46.292150308139654,0.06258010517766893,27.64083549569965
2006,trusted,1000,0.015608902428974591,0.008277076139868939,0.016942678883306805,0.04864795241462993,51.44653873660286,0.05758024518026293,21.488171301327053
