year,N,N_valid,n_nan,n_zero,n_negative,xmin_positive_nominal,xmax_nominal,mean_nominal,median_nominal,std_nominal,income_sum_nominal,xmin_positive,xmax,mean,median,std,income_sum,Gini,Pietra,Kolkata,Kolkata_pct,Zanardi,top_10,top_1,top_01,income_observation_n,income_mean_2025_usd,income_median_2025_usd,income_std_2025_usd,p90_p99_population_n,p90_p99_income_share_pct,p90_p99_mean_income_2025_usd,p90_p99_median_income_2025_usd,p90_p99_std_income_2025_usd,p99_p999_population_n,p99_p999_income_share_pct,p99_p999_mean_income_2025_usd,p99_p999_median_income_2025_usd,p99_p999_std_income_2025_usd,p999_p100_population_n,p999_p100_income_share_pct,p999_p100_mean_income_2025_usd,p999_p100_median_income_2025_usd,p999_p100_std_income_2025_usd,IPEA,Banco_Mundial,diff_IPEA,diff_Banco_Mundial
1976,148387,148387,0,0,0,1.0,405544.0,2210.5394946996703,1000.0,5429.8406754534,328015324.0,0.49759157606293647,201795.27812286752,1099.945831116976,497.5915760629364,2701.8429794694966,163217662.04195473,0.6136927360053015,0.46448923188942204,0.7307410953775938,73.07410953775938,0.01614760844895177,0.5100221872562196,0.16577626720884286,0.047989378660916904,148387,1099.945831116976,497.5915760629364,2701.8429794694966,13355,34.42422007088913,4207.14392930607,3483.141032440555,1861.4506767189987,1335,11.768348968964633,14388.032994818395,12937.380977636347,4450.216280741053,149,4.81007039780861,52690.49963674741,39807.32608503492,35360.29379334869,,,,
1977,192954,192954,0,0,0,1.0,605000.0,3132.3484768390394,1300.0,8968.925406263153,604399168.0,0.35428520150617615,214342.54691123657,1109.744711304483,460.57076195802904,3177.557544851804,214129681.02504522,0.631149595644577,0.47785550503987995,0.7379005612558607,73.79005612558606,0.016133463105160346,0.5295782836024058,0.18475894394364356,0.06277243584839343,192954,1109.744711304483,460.57076195802904,3177.5575448518034,17366,34.48024633945228,4251.5513937187025,3542.8520150617614,1922.8160541694592,1737,12.200230063850785,15039.904271758982,13462.837657234693,4830.275348940166,193,6.2779475897624,69652.58626361523,53142.78022592642,42134.16561619917,,,,
1978,215695,215695,0,0,0,1.0,830000.0,4371.611187092886,2000.0,9782.350359726359,942934675.0,0.25595089967394596,212439.24672937515,1118.917816361111,511.90179934789194,2503.8013754977105,241344978.4000098,0.6190917906193394,0.46810061477771986,0.7331543871959001,73.31543871959,0.012293994129821262,0.5096399928240154,0.15466075844598026,0.0404397250536177,215695,1118.9178163611111,511.90179934789194,2503.8013754977105,19413,35.49820977789368,4413.184295103678,3839.2634951091895,1923.3364780989102,1941,11.419080860506057,14198.546231977334,12797.544983697298,3595.041872007308,216,4.047207087808071,45220.97718460212,33781.03961621657,29922.371573154025,,,,
1979,170807,170807,0,0,0,1.0,1029998.0,6774.94643662145,3000.0,13350.450729833068,1157208276.0,0.1513660610401351,155906.7401392171,1025.4969558692883,454.0981831204054,2020.8051400852285,175162058.54116553,0.6035568036912156,0.4558944364587154,0.7271730795811404,72.71730795811405,0.01112176121885827,0.4896104778632181,0.13893289767629236,0.032452511599266654,170807,1025.4969558692883,454.0981831204054,2020.8051400852287,15372,35.063324935985854,3995.42296063301,3405.73637340304,1629.2427304346118,1538,10.65055898373129,12129.868895997897,11352.454578010134,2852.114926273492,171,3.247552733540941,33265.96620046903,26791.79280410392,21073.324017252497,,,,
1981,472198,472198,0,0,0,0.09090909090909091,830000.0,10238.12861593576,5000.0,17716.634593001138,4834423856.187634,0.0030072432533670675,27456.130903241326,338.6739752811485,165.39837893518873,586.0605283738951,159921173.77980775,0.5884866557212263,0.44180024835608317,0.7205455417456132,72.05455417456133,0.008887252464587898,0.4702974823528264,0.12589107111701892,0.027128340915561044,472198,338.6739752811484,165.39837893518873,586.0605283738951,42498,34.44070134420353,1296.0133146888868,1152.0824084730568,483.692168061683,4249,9.873038839513166,3715.9518945365407,3440.2862818519257,874.6762416571688,473,2.716102195547822,9183.134275220307,8159.653360802644,3317.111867714175,,0.57864045464,,0.009846201081226247
1982,206845,206845,0,0,0,1.0,5150000.0,49336.371374700866,25000.0,88324.41086880892,10204981737.0,0.016422459102401747,84575.664377369,810.2245411619291,410.56147756004367,1450.5040252367428,167590895.21663922,0.5898439323148535,0.4419756074881367,0.7204863199960962,72.04863199960963,0.010672672357538803,0.47571409230441075,0.12898897126164066,0.027893120667474514,206845,810.2245411619291,410.56147756004367,1450.5040252367426,18616,34.670839391821644,3121.2489318799467,2665.1187754332677,1254.871951317037,1862,10.110380259272384,9099.933827240042,8217.387973364275,2003.875445208422,207,2.7906942348308488,22593.95870005874,18540.956326611573,11044.807947533855,,0.583560943294,,0.006282989020853558
1983,499797,499797,0,3,0,5.0,7000000.0,43713.015742401374,20428.571428571428,81150.83862496793,21847634129.00498,0.0230226639023554,32231.729463297565,201.2780139191355,94.06402680105207,373.66169661138355,100598147.52274217,0.5984475364063784,0.4519279508866025,0.725584219260646,72.5584219260646,0.008633423759857654,0.4788964464964691,0.13248846452103702,0.03057718962702871,499794,201.27922208498333,94.06968379846808,373.6624926597229,44982,34.64088745205731,774.7119083679623,690.6799170706621,285.535587503616,4498,10.190385761490957,2279.0883284751408,2072.039751211986,583.1095933448992,500,3.058508750746366,6153.606290143614,5064.986058518189,3212.4872071238838,,0.589039744859,,0.009407791547378364
1984,504543,504543,0,33,0,2.5,9999998.0,123746.92207625261,60000.0,213075.30715878782,62435643305.11872,0.003512897502867209,14051.587201150835,173.88410141966835,84.30954006881302,299.40468577630776,87732006.18258373,0.5907641612178143,0.44505261498707505,0.7221229118193508,72.21229118193509,0.009706546603161868,0.4741198298908925,0.12635455451926036,0.025614284346361815,504510,173.89547517905245,84.30954006881302,299.41117478620936,45405,34.774160301605036,671.9098880243522,593.1495315671256,252.15152043610968,4541,10.073231678689439,1946.1458355282543,1812.6551114794797,457.26881605449665,505,2.563137512140922,4452.855367563558,4018.754743280087,1497.5664444390197,,0.582991179841,,0.007772981376814259
1985,514137,514137,0,0,0,4.0,75000000.0,472656.95313793456,223333.33333333334,900141.4286116081,243010427915.47827,0.0016079469879319557,30149.00602372417,190.0018310308094,89.7770401595342,361.8449247122007,97686971.40068725,0.6020969269730102,0.45355558839791854,0.7264272010685632,72.64272010685632,0.008910813058296904,0.483816556097423,0.13734837166333014,0.03295986014687036,514137,190.00183103080937,89.7770401595342,361.8449247122007,46272,34.645921612748126,731.4261656584928,643.1787951727823,279.98708483803784,4627,10.43632383784723,2203.35610174215,2009.9337349149446,576.1759915948535,515,3.2995373026223214,6258.675846927523,5326.324397524603,2795.6363326107166,,0.555264216911,,0.046832710062010174
1986,284142,284142,0,0,0,0.16666666666666666,334666.6666666667,1329.1840383692063,652.25,2830.9573725994533,377677011.030303,0.03549713231006227,71278.24167860505,283.0933300464876,138.9180272954287,602.9452105158542,80438704.98606908,0.5930790055734168,0.44469545804928085,0.7219180055486722,72.19180055486723,0.009757339057691918,0.4754459450184376,0.13895164120433368,0.037182041241316854,284142,283.0933300464876,138.9180272954287,602.9452105158542,25573,33.64845282654959,1058.396734897151,930.7348091698327,393.7293456931263,2557,10.172003035867954,3199.932543291285,2898.163367455034,900.5900772278578,285,3.724758216451593,10512.797449739879,8519.311754414945,8831.820130288714,,0.584328977746,,0.00875002782741674
