year,exp_intercept,exp_lambda,exp_r2,x_max
1978,4.436259686970114,0.6282552691050758,0.9078706562918395,8.993868302665566
1979,4.429009289005844,0.8429132986359616,0.9003272127268801,6.935027877303481
1981,4.523676721579539,0.7272225872341821,0.941435183747279,7.371242712382564
1982,4.5043550856523265,0.6954317697438207,0.9309497509768927,7.849559609203476
1983,4.487115324639986,0.6929983366953777,0.9360851213801408,7.96710960176985
1984,4.5095902455306,0.7015942263462195,0.9366643997816677,7.82329475179977
1985,4.513317086849439,0.7067441256113569,0.9354399087722729,7.72788415290446
1986,4.50175462772775,0.7356766271754419,0.9403332153659704,7.218092203968127
1987,4.454344800738817,0.6920908944437176,0.9319314081652332,7.763947684149914
1988,4.46226087540855,0.6524803943125205,0.9198953891987234,8.533216400084266
1989,4.354057662064515,0.5768600644471609,0.8903132847583195,9.73777265679984
1990,4.415117609643126,0.6314830616068343,0.9087317443996332,8.665971226618906
1992,4.539962511376375,0.7439748384057153,0.943786020277011,7.465068963129983
1993,4.503800345821409,0.6919067645846211,0.925323993764481,8.09189309790807
1995,4.426044320827941,0.6592162112295986,0.9227102133716218,8.407876016545897
1996,4.445166519265442,0.674470365309168,0.9283125319924007,8.124437179052151
1997,4.452208872355475,0.691160617396262,0.9289918978978741,7.79009107647884
1998,4.442184794529576,0.6701056708026953,0.922332647344724,8.15287296793561
1999,4.439717696783055,0.6709351932121179,0.9252206171132624,8.176655455951684
2001,4.433204820630288,0.6567870830914034,0.9199470820408249,8.53395522561751
2002,4.455730689021413,0.6715448914975639,0.9262336921932623,8.35044854642999
2003,4.474188489184396,0.6936683445219083,0.9295754945171553,7.988967241340482
2004,4.430745071824689,0.6745305181156126,0.9247685183254097,8.29192947397243
2005,4.4556158661360605,0.7137449190113457,0.9296511881138207,7.475625354864691
2006,4.465205681176944,0.7230138352488719,0.9316032239921642,7.4087306824125
2007,4.467691829411381,0.7221700444209767,0.931778006530155,7.561989889673862
2008,4.457690614092842,0.7242974027935034,0.9325472850715275,7.59694880336684
2009,4.478786736741682,0.7323375881302683,0.936161862915839,7.5750694401889955
2011,4.502651596751267,0.768112495931788,0.9408977121984066,7.032932641135984
2012,4.515826371444958,0.7903659894952325,0.9472428533480646,6.86123801280913
2013,4.514542900276558,0.783326470242208,0.9443349219913655,6.874046452162832
2014,4.518248279946925,0.7854861662500532,0.9461683486474894,6.950485514934318
2015,4.498429809356538,0.7892832104049476,0.9433508724427618,6.738138721209536
2016,4.5550181468931,0.886228952620169,0.9581925121069146,5.790470983521455
2017,4.543465400768542,0.8620557862565918,0.9566442663302335,6.057845762362985
2018,4.511357114412742,0.7993830444417199,0.9464320494577408,6.953900774021797
2019,4.502508065044114,0.784126800389338,0.938307693729421,7.091028465546687
2020,4.521975987557495,0.8225650702353582,0.9473134085236864,6.356300258380844
2021,4.5416648692686294,0.8224842618375683,0.9505945703402872,6.629131636273755
2022,4.532673076081473,0.8287159190534951,0.9480663600708938,6.433713154331938
2023,4.5200280441216,0.8167754052773715,0.9465380910217709,6.648120071247216
2024,4.517631156760255,0.809614059235372,0.9430707338028871,6.719783763051317
2025,4.548214571357556,0.8711529260924133,0.9549565108019633,5.782608258153999
