year,pareto_x_pmin,transition_x_t,transition_delta_x_t,pareto_alpha_ls,pareto_alpha_ls_bootstrap_se,pareto_beta_ls,pareto_beta_ls_bootstrap_se,pareto_alpha_mle,pareto_alpha_mle_bootstrap_se,pareto_beta_mle_continuity,pareto_beta_mle_bootstrap_se,ls_correlation_coefficient,pareto_mle_r2_diagnostic,pareto_population_pct
1978,8.993868302665566,8.993868302665566,0.0,2.3329578393575185,0.0701482546618698,164.71250930912157,36.69200536102239,2.5848912011630003,0.05790064978695206,365.847366437748,47.30652547039432,0.9913669657839621,0.9680783241506854,1.092283084911565
1979,6.935027877303481,6.935027877303481,0.0,0.9539471829935032,0.35751684923586835,6.392110916618058,9.848939002753827,0.9131417615095891,0.022273925344968377,6.675670163700872,0.2884726940955675,0.5945161723222119,0.24917523934344188,1.0200092197629704
1981,7.371242712382564,7.371242712382564,0.0,3.2614364447545965,0.1395434029244651,1210.2487513530125,593.2300998245366,2.5583351172475197,0.03163041754130094,242.58945860896756,15.439834504632318,0.9895248996249102,0.86102276715057,1.2030970059170094
1982,7.849559609203476,7.849559609203476,0.0,2.875419105934236,0.04073041291355104,455.2882006757643,57.25771443013916,2.8848761334133064,0.057019486097387384,540.2255580142732,65.01406690233031,0.9981522046183894,0.9911996051821904,1.237641712393338
1983,7.96710960176985,7.96710960176985,0.0,2.776827850093007,0.05738717323995826,385.84190169478046,81.55425032268484,2.485291809431156,0.030819973751122123,216.7021552667113,14.00524785267193,0.9973648179074923,0.9399709981479751,1.035626678191415
1984,7.82329475179977,7.82329475179977,0.0,3.3576735676892517,0.06580937225679571,1523.663129205975,427.0114263618144,2.664553489915974,0.03282057235189388,322.8868391535413,21.85972221780932,0.9976700629009051,0.8581265877412401,1.1121682424530732
1985,7.72788415290446,7.72788415290446,0.0,2.845655510465797,0.0833953266551737,532.3840611677135,265.3507906146869,2.4328090674592624,0.030741957108133953,202.44968790397985,12.798975907178361,0.9942036428633584,0.89754335222743,1.1734226480490608
1986,7.218092203968127,7.218092203968127,0.0,2.1326803653865243,0.050763592199330757,67.86447408669837,10.420907706287817,2.3455771802487635,0.040879227648969695,152.49885512766778,12.420722735767734,0.9876669601391607,0.9678253565344417,1.2504311224669356
1987,7.763947684149914,7.763947684149914,0.0,2.665443345041113,0.05466297318599751,325.8939709105412,63.952152788547664,2.384758946219901,0.03891031089387929,184.1856668358659,14.839448458769876,0.9944809297677586,0.9406163499862648,1.182099345556448
1988,8.533216400084266,8.533216400084266,0.0,2.586288054895858,0.05166733952635177,315.46709804286985,66.43606890690387,2.3587623013401595,0.03990832053281877,202.3397087829721,17.340328852631743,0.9974169195560123,0.9453709062932305,1.084130606664296
1989,9.73777265679984,9.73777265679984,0.0,2.128381836883672,0.05397060364036749,158.99037859968124,33.54045685527388,1.9303418859929515,0.055902674789727456,97.77107512752823,12.726117364608225,0.9945440861979057,0.9574450866931319,1.057101076481263
1990,8.665971226618906,8.665971226618906,0.0,2.1249824940992976,0.032671963072340264,117.3916280711946,15.665972138630398,2.0432345604047604,0.05037397001628235,111.75940628859917,12.285107991408212,0.998684229181019,0.9676628086066622,1.1809082179100088
1992,7.465068963129983,7.465068963129983,0.0,2.2158432186449795,0.04055994103283167,87.83843088367628,11.526661406523026,2.385813881756108,0.08312153956087959,163.14043780267122,28.362082331481425,0.9974753755018695,0.989193181617244,1.1377817901808236
1993,8.09189309790807,8.09189309790807,0.0,2.2247184517105785,0.043055379722900904,113.98906162573168,17.089113281117314,2.30854639052865,0.0735578652693557,168.3175764737683,26.805993950789457,0.9971126771976941,0.9872172351600436,1.1846181884454163
1995,8.407876016545897,8.407876016545897,0.0,2.81498264520965,0.08015579411797914,528.5096506593684,185.54255331080986,2.354246696428253,0.07156905793664985,184.4174836171724,29.48005582667518,0.9934957227965876,0.8886083577759668,1.0395642341268876
1996,8.124437179052151,8.124437179052151,0.0,2.768367752430817,0.08191533875213708,435.2511089992099,220.51206949284486,2.448438958003312,0.07350444727068647,218.01507754449267,34.54934506146267,0.9945216326257578,0.8974423285889991,1.0868758810000745
1997,7.79009107647884,7.79009107647884,0.0,2.4693767411230025,0.05717166674014221,194.4096133009451,37.56852413044017,2.32206788077656,0.0700804082484006,163.53083778743155,24.610601964478644,0.9935163662433412,0.9507265725032319,1.1957351342600089
1998,8.15287296793561,8.15287296793561,0.0,2.5695625585912154,0.03404650437798459,261.69581960134343,27.237121880887344,2.400075202667349,0.06923647575947679,206.8459983125097,30.186461787612448,0.9973953254861851,0.9635706086868813,1.156892000459084
1999,8.176655455951684,8.176655455951684,0.0,2.983033542269379,0.06962071885478582,764.9941340401873,267.77123805112575,2.3343081813087214,0.064402963879131,172.3433061307901,24.11323635624832,0.9975638374353964,0.8261443756666781,1.0711282255565884
2001,8.53395522561751,8.53395522561751,0.0,2.858934010126409,0.06776510889159293,588.1840898676451,195.3572962151999,2.3326399775766484,0.06387078337548387,177.21517379211215,25.16882759721859,0.9989893351982453,0.8594794439097584,1.021720348007796
2002,8.35044854642999,8.35044854642999,0.0,2.790846067875424,0.09309004839407925,412.93008538450175,136.40766802736982,2.482966664869789,0.0687242862205901,231.24264233296407,34.56519730899736,0.9912806167969898,0.9139900572724251,1.0214733802280995
2003,7.988967241340482,7.988967241340482,0.0,2.9531524685684154,0.050463883459973755,610.5721669447092,103.69815458836388,2.5377393456340256,0.0686557055145873,254.1671168582325,37.594652690592696,0.995402544570738,0.9178725684889868,1.11236095488064
2004,8.29192947397243,8.29192947397243,0.0,2.645936218717713,0.03694290829222707,278.0960524090911,32.81716718698773,2.573640001430336,0.0759441755513801,275.54820529584543,46.12137050765964,0.9974566351137388,0.9809134341277165,1.0338121709138277
2005,7.475625354864691,7.475625354864691,0.0,2.719164043091664,0.04069839311357641,330.70483797948054,48.00489657288671,2.486302246959424,0.06037833057922299,213.22351322888653,26.123791662486596,0.9976615036758985,0.955569724324915,1.2662919266168386
2006,7.4087306824125,7.4087306824125,0.0,2.720648125644068,0.047543045086638216,310.1919454161237,50.55618417641872,2.4188490341666817,0.0570254255062217,180.0208847151639,21.26040494528347,0.9974264882956805,0.9282867233019676,1.2123894573320488
