year,gdp_growth_pct,income_observation_n,income_mean_2025_usd,income_median_2025_usd,income_std_2025_usd,gini_pnad,pietra_pnad,kolkata_pnad,zanardi_pnad,gini_ipea,gini_world_bank,p90_p99_population_n,p90_p99_income_share_pct,p90_p99_mean_income_2025_usd,p90_p99_median_income_2025_usd,p90_p99_std_income_2025_usd,p99_p999_population_n,p99_p999_income_share_pct,p99_p999_mean_income_2025_usd,p99_p999_median_income_2025_usd,p99_p999_std_income_2025_usd,p999_p100_population_n,p999_p100_income_share_pct,p999_p100_mean_income_2025_usd,p999_p100_median_income_2025_usd,p999_p100_std_income_2025_usd
1978,4.96989768924738,215695,1118.9178163611111,511.901799347892,2503.8013754977105,0.6190917906193394,0.4681006147777198,0.7331543871959001,0.0122939941298212,,,19413,35.49820977789368,4413.184295103678,3839.2634951091895,1923.3364780989104,1941,11.419080860506057,14198.546231977334,12797.544983697298,3595.041872007308,216,4.047207087808071,45220.97718460212,33781.03961621657,29922.371573154025
1979,6.7595601220408,170807,1025.4969558692885,454.0981831204054,2020.805140085229,0.6035568036912156,0.4558944364587154,0.7271730795811404,0.0111217612188582,,,15372,35.063324935985854,3995.42296063301,3405.73637340304,1629.2427304346118,1538,10.65055898373129,12129.868895997895,11352.454578010134,2852.114926273492,171,3.247552733540941,33265.96620046903,26791.79280410392,21073.324017252497
1981,-4.24999999999956,472198,338.6739752811485,165.39837893518873,586.0605283738952,0.5884866557212263,0.4418002483560832,0.7205455417456132,0.0088872524645879,,0.57864045464,42498,34.44070134420353,1296.0133146888868,1152.082408473057,483.6921680616831,4249,9.873038839513168,3715.9518945365417,3440.2862818519257,874.6762416571687,473,2.7161021955478217,9183.134275220307,8159.653360802645,3317.111867714175
1982,0.829999999999529,206845,810.2245411619291,410.56147756004367,1450.5040252367426,0.5898439323148535,0.4419756074881367,0.7204863199960962,0.0106726723575388,,0.583560943294,18616,34.670839391821644,3121.2489318799467,2665.118775433268,1254.871951317037,1862,10.110380259272384,9099.933827240042,8217.387973364275,2003.875445208422,207,2.7906942348308488,22593.95870005874,18540.956326611573,11044.807947533856
1983,-2.92999999999996,499794,201.2792220849834,94.06968379846808,373.662492659723,0.5984475364063784,0.4519279508866025,0.725584219260646,0.0086334237598576,,0.589039744859,44982,34.6408874520573,774.7119083679623,690.6799170706621,285.535587503616,4498,10.190385761490957,2279.088328475141,2072.039751211986,583.1095933448992,500,3.0585087507463653,6153.606290143614,5064.98605851819,3212.4872071238847
1984,5.39999999999988,504510,173.89547517905245,84.30954006881302,299.41117478620936,0.5907641612178143,0.445052614987075,0.7221229118193508,0.0097065466031618,,0.582991179841,45405,34.77416030160504,671.9098880243522,593.1495315671256,252.15152043610968,4541,10.07323167868944,1946.1458355282543,1812.65511147948,457.2688160544967,505,2.563137512140922,4452.855367563558,4018.754743280087,1497.5664444390195
1985,7.85000000000042,508995,165.55923861090702,88.43708433625756,215.9510796247632,0.5555052921976358,0.4171476898360681,0.7085037632639182,0.0008694669788461,,0.555264216911,45810,34.35439697464817,631.9591038736751,580.2000139070537,196.98924845922832,4581,7.098888558630245,1305.8611552173809,1293.392358417767,101.9916724728677,509,0.9297672511583572,1539.300460893125,1540.7195283400144,23.551687581748105
1986,7.48999999999982,284142,283.0933300464876,138.9180272954287,602.9452105158542,0.5930790055734168,0.4446954580492808,0.7219180055486722,0.0097573390576919,,0.584328977746,25573,33.64845282654959,1058.396734897151,930.7348091698328,393.7293456931263,2557,10.172003035867954,3199.932543291285,2898.163367455034,900.5900772278578,285,3.724758216451593,10512.79744973988,8519.311754414945,8831.820130288714
1987,3.52999999999983,292615,226.7955159829924,108.65555613554145,438.8438150250595,0.6046304992949822,0.4539641921753865,0.7267185094855458,0.007595960877384,,0.596431493876,26335,34.394254749538504,866.7296025830261,755.8647383342013,336.40341287080906,2634,10.597478903489884,2670.040438764367,2425.5604970052227,721.3371527035092,293,3.393332545203926,7685.813660609814,6662.616977592962,3510.9577253628527
1988,-0.059999999999917,289633,248.4946146192459,110.89540830629784,516.3775243058045,0.6245229030230508,0.4717852816702907,0.7354975364206167,0.0081011844561202,,0.613722993924,26067,35.71114763124298,986.0019616990854,838.0532348819386,401.82761544264827,2607,11.33766575233489,3130.0238154383505,2831.353841024319,867.7137738035533,290,3.650993723070904,9061.041347914575,7558.448052733554,4482.370857691295
1989,3.16000000000032,292688,371.4892267419125,159.0521554961108,855.3005299225804,0.6363469824426075,0.4830968250042911,0.7412661651898719,0.0071401773977401,,0.63245782638,26342,35.6871954359388,1473.0409305181695,1274.0077655238474,589.7505533670169,2634,11.524150119282858,4757.121864950419,4290.431894507588,1391.0398368290764,293,4.448296027008999,16507.343990239755,13681.666415775451,9201.546546189473
1990,-4.35000000000022,114461,2184.107900978253,994.5675396356896,3220.501900582065,0.6062716474573497,0.4585974112983501,0.7292639409280565,-0.0053199229932088,,0.60450872928,10302,36.757819158697366,8919.896537684352,8098.737089726296,3074.2243243331995,1030,8.299944646081961,20145.10786169649,19624.848870061127,2235.510550299676,115,1.1176454707961518,24296.17169124032,24296.1788744249,0.0173221620822941
1992,-0.54407204977727,75322,319.2575000347546,169.21727471368996,634.1553450482281,0.5856840442536337,0.434312133508222,0.7167079609202228,0.0082077034174556,,0.531034170544,6779,32.605757520875635,1156.6224357159472,1005.3496909460404,434.1100476699359,678,10.00843615295442,3549.7640015203706,3185.266347551811,969.6542938336822,76,3.657259240563332,11571.911546770674,8659.942882406485,7577.919750263184
1993,4.9246900037071,76818,356.6437655311536,177.83351893235803,788.2965484900514,0.6097346922973377,0.4572044035202052,0.7279074113905827,0.0108289724135678,,0.600668969317,6913,34.06993141798521,1350.2131547459835,1166.4643194242249,555.5448141843773,692,11.17672608534287,4424.927358345531,4022.290756635258,1191.378543670054,77,4.051737455308802,14416.113848705698,11865.757732074013,10017.777371691616
