table_name,table_description,column_name,description,unit,source
table_01_gompertz_annual.csv,Annual Gompertz estimates and free-A/B diagnostics.,year,Year.,year,Stage 03 / Stage 05 consolidation
table_01_gompertz_annual.csv,Annual Gompertz estimates and free-A/B diagnostics.,gompertz_A,Gompertz a.,dimensionless,Stage 03 / Stage 05 consolidation
table_01_gompertz_annual.csv,Annual Gompertz estimates and free-A/B diagnostics.,gompertz_B,Gompertz b.,dimensionless,Stage 03 / Stage 05 consolidation
table_01_gompertz_annual.csv,Annual Gompertz estimates and free-A/B diagnostics.,gompertz_B_bootstrap_se,Gompertz b bootstrap se.,dimensionless,Stage 03 / Stage 05 consolidation
table_01_gompertz_annual.csv,Annual Gompertz estimates and free-A/B diagnostics.,gompertz_boundary_A_free,Gompertz boundary a free.,dimensionless,Stage 03 / Stage 05 consolidation
table_01_gompertz_annual.csv,Annual Gompertz estimates and free-A/B diagnostics.,gompertz_A_free_bootstrap_se,Gompertz a free bootstrap se.,dimensionless,Stage 03 / Stage 05 consolidation
table_01_gompertz_annual.csv,Annual Gompertz estimates and free-A/B diagnostics.,gompertz_boundary_B_free,Gompertz boundary b free.,dimensionless,Stage 03 / Stage 05 consolidation
table_01_gompertz_annual.csv,Annual Gompertz estimates and free-A/B diagnostics.,gompertz_B_free_bootstrap_se,Gompertz b free bootstrap se.,dimensionless,Stage 03 / Stage 05 consolidation
table_01_gompertz_annual.csv,Annual Gompertz estimates and free-A/B diagnostics.,gompertz_x_gmax,Gompertz x gmax.,normalized income,Stage 03 / Stage 05 consolidation
table_01_gompertz_annual.csv,Annual Gompertz estimates and free-A/B diagnostics.,transition_x_t,Transition x t.,normalized income,Stage 03 / Stage 05 consolidation
table_01_gompertz_annual.csv,Annual Gompertz estimates and free-A/B diagnostics.,gompertz_r2,Gompertz r2.,dimensionless,Stage 03 / Stage 05 consolidation
table_01_gompertz_annual.csv,Annual Gompertz estimates and free-A/B diagnostics.,gompertz_population_pct,Gompertz population pct.,%,Stage 03 / Stage 05 consolidation
table_01_gompertz_annual.csv,Annual Gompertz estimates and free-A/B diagnostics.,gompertz_income_share_pct,Gompertz income share pct.,%,Stage 03 / Stage 05 consolidation
table_01_gompertz_annual.csv,Annual Gompertz estimates and free-A/B diagnostics.,bootstrap_reps,Bootstrap reps.,count,Stage 03 / Stage 05 consolidation
table_02_pareto_annual.csv,Annual Pareto LS/MLE estimates and uncertainties.,year,Year.,year,Stage 03 / Stage 05 consolidation
table_02_pareto_annual.csv,Annual Pareto LS/MLE estimates and uncertainties.,pareto_x_pmin,Pareto x pmin.,normalized income,Stage 03 / Stage 05 consolidation
table_02_pareto_annual.csv,Annual Pareto LS/MLE estimates and uncertainties.,transition_x_t,Transition x t.,normalized income,Stage 03 / Stage 05 consolidation
table_02_pareto_annual.csv,Annual Pareto LS/MLE estimates and uncertainties.,transition_delta_x_t,Transition delta x t.,normalized income,Stage 03 / Stage 05 consolidation
table_02_pareto_annual.csv,Annual Pareto LS/MLE estimates and uncertainties.,pareto_selection_status,Pareto selection status.,text,Stage 03 / Stage 05 consolidation
table_02_pareto_annual.csv,Annual Pareto LS/MLE estimates and uncertainties.,pareto_supported,Pareto supported.,boolean,Stage 03 / Stage 05 consolidation
table_02_pareto_annual.csv,Annual Pareto LS/MLE estimates and uncertainties.,pareto_alpha_ls,Pareto alpha ls.,dimensionless,Stage 03 / Stage 05 consolidation
table_02_pareto_annual.csv,Annual Pareto LS/MLE estimates and uncertainties.,pareto_alpha_ls_bootstrap_se,Pareto alpha ls bootstrap se.,dimensionless,Stage 03 / Stage 05 consolidation
table_02_pareto_annual.csv,Annual Pareto LS/MLE estimates and uncertainties.,pareto_beta_ls,Pareto beta ls.,CCDF-percent scale,Stage 03 / Stage 05 consolidation
table_02_pareto_annual.csv,Annual Pareto LS/MLE estimates and uncertainties.,pareto_beta_ls_bootstrap_se,Pareto beta ls bootstrap se.,CCDF-percent scale,Stage 03 / Stage 05 consolidation
table_02_pareto_annual.csv,Annual Pareto LS/MLE estimates and uncertainties.,pareto_ls_r2,Pareto ls r2.,dimensionless,Stage 03 / Stage 05 consolidation
table_02_pareto_annual.csv,Annual Pareto LS/MLE estimates and uncertainties.,pareto_alpha_mle,Pareto alpha mle.,dimensionless,Stage 03 / Stage 05 consolidation
table_02_pareto_annual.csv,Annual Pareto LS/MLE estimates and uncertainties.,pareto_alpha_mle_fisher_se,Pareto alpha mle fisher se.,dimensionless,Stage 03 / Stage 05 consolidation
table_02_pareto_annual.csv,Annual Pareto LS/MLE estimates and uncertainties.,pareto_alpha_mle_likelihood_se,Pareto alpha mle likelihood se.,dimensionless,Stage 03 / Stage 05 consolidation
table_02_pareto_annual.csv,Annual Pareto LS/MLE estimates and uncertainties.,pareto_alpha_mle_bootstrap_se,Pareto alpha mle bootstrap se.,dimensionless,Stage 03 / Stage 05 consolidation
