year,layer,paper_table,test,estimator,parameter,estimate,standard_error,fit_metric,fit_value,criterion,passed,evidence_status,paper_2009_value,paper_2009_standard_error,difference_from_2009,relative_difference_pct,within_paper_1se
1978,refined,model_test,gompertz_vs_exponential,r2_comparison,delta_r2,0.0840943210275075,,delta_r2,0.0840943210275075,gompertz_free_r2 > exponential_r2,True,supported,,,,,
1978,refined,table_1,annual_income,descriptive,mean_income_usd,382.70946936333206,,,,descriptive reproduction quantity,,descriptive,132.503,,250.20646936333208,188.8307958033645,
1978,refined,table_2,gompertz,boundary,x_gmax,5.932210450585064,,gompertz_free_correlation_coefficient,0.9884351086806864,correlation_coefficient >= 0.98,True,supported,6.606,,-0.673789549414936,-10.19966014857608,
1978,refined,table_2,gompertz,free_lsf,A,1.5267294032027052,0.0080074756606429,gompertz_free_correlation_coefficient,0.9884351086806864,correlation_coefficient >= 0.98,True,supported,1.52,0.01,0.0067294032027052,0.4427238949148163,True
1978,refined,table_2,gompertz,free_lsf,B,0.4988186256394963,0.0263848873246913,gompertz_free_correlation_coefficient,0.9884351086806864,correlation_coefficient >= 0.98,True,supported,0.46,0.01,0.0388186256394962,8.43883166076006,False
1978,refined,table_2,gompertz,free_lsf,correlation_coefficient,0.9884351086806864,,gompertz_free_correlation_coefficient,0.9884351086806864,correlation_coefficient >= 0.98,True,supported,0.997,,-0.0085648913193135,-0.8590663309241319,
1978,refined,table_2,gompertz,population,population_pct,99.69583366076672,,gompertz_free_correlation_coefficient,0.9884351086806864,correlation_coefficient >= 0.98,True,supported,98.9,,0.7958336607667178,0.8046851979441029,
1978,refined,table_3,pareto,boundary,x_pmin,77.77124454992553,,pareto_ls_r2,0.4306223613391668,pareto_ls_r2 >= 0.98 and selected tail supported,False,fallback,40.0,,37.77124454992553,94.42811137481382,
1978,refined,table_3,pareto,lsf,alpha,6.248532620568889,4.129451503457959,pareto_ls_r2,0.4306223613391668,pareto_ls_r2 >= 0.98 and selected tail supported,False,fallback,2.44,0.11,3.8085326205688887,156.0874024823315,False
1978,refined,table_3,pareto,lsf,beta,489412446674.9851,4.4942359126117815e+53,pareto_ls_r2,0.4306223613391668,pareto_ls_r2 >= 0.98 and selected tail supported,False,fallback,4767.0,4236.0,489412441907.9851,10266675936.815294,False
1978,refined,table_3,pareto,lsf,correlation_coefficient,0.6562182269178195,,pareto_ls_r2,0.4306223613391668,pareto_ls_r2 >= 0.98 and selected tail supported,False,fallback,0.981,,-0.3247817730821805,-33.1072143814659,
1978,refined,table_3,pareto,mle,alpha,0.8631547721328956,0.008347333966289,pareto_mle_r2,-0.4950819292713428,finite direct MLE on observations x >= x_t,True,supported,2.94,0.06,-2.0768452278671043,-70.6409941451396,False
1978,refined,table_3,pareto,mle_continuity,beta,25.106701108268474,0.7825772756817623,pareto_mle_r2,-0.4950819292713428,finite direct MLE on observations x >= x_t,True,supported,10639.0,22543.0,-10613.893298891731,-99.76401258475168,True
1978,refined,table_3,pareto,population,population_pct,0.3041663392332974,,pareto_ls_r2,0.4306223613391668,pareto_ls_r2 >= 0.98 and selected tail supported,False,fallback,,,,,
1978,refined,table_3,transition,boundary,x_t,41.85172750025529,,pareto_ls_r2,0.4306223613391668,descriptive reproduction quantity,,descriptive,23.3,16.7,18.551727500255293,79.6211480697652,False
