ano,survey,income_variable,income_position,income_width,member_variable,member_position,member_width,raw_source,raw_subdir,raw_pattern,raw_file_count,missing_income_code,income_scale_divisor,currency,exchange,price_index,adjust_2025,inflation_factor_2025,stage01_divides_by_members,income_construction,adjusted_income_formula,monetary_provenance,gini_ipea,gini_world_bank,gini_reference_role,trusted_cutoff_rule,trusted_log_mad_cutoff,trusted_mad_consistency,trusted_n_invalid_structural,trusted_n_refined,trusted_n_removed_total,trusted_n_statistical_outlier,trusted_n_trusted,trusted_p99_exception_cutoff,trusted_p99_exception_quantile,trusted_effective_cutoff,trusted_mad_k,trusted_total_removal_rate
1976,PNAD,V2954,227.0,9.0,,,,https://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_anual/microdados/1976/,,DOM1976.*,1,9999999.0,1.0,cruzeiro-Cr$,11.313,100.0,4.6292535,5.6292535,False,income_raw / income_scale_divisor,renda / exchange * inflation_factor_2025,Stage 00 metadata; documentary provenance of historical exchange/index series not yet recorded,,,external validation only,log_mad,472517.6808766022,1.4826,4,148396,9,5,148387,,,472517.6808766022,6.0,6.064853500094342e-05
1977,PNAD,V131,288.0,9.0,,,,https://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_anual/microdados/1977/,,DOM1977.*,1,999999999.0,1.0,cruzeiro-Cr$,14.93,106.42361,4.28947805848721,5.28947805848721,False,income_raw / income_scale_divisor,renda / exchange * inflation_factor_2025,Stage 00 metadata; documentary provenance of historical exchange/index series not yet recorded,,,external validation only,log_mad,617495.775730576,1.4826,919,193886,932,13,192954,,,617495.775730576,6.0,0.0048069484129849
1978,PNAD,V2541,214.0,9.0,,,,https://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_anual/microdados/1978/,,DOM1978.*,1,999999999.0,1.0,cruzeiro-Cr$,19.05,115.45139,3.875864638788671,4.875864638788671,False,income_raw / income_scale_divisor,renda / exchange * inflation_factor_2025,Stage 00 metadata; documentary provenance of historical exchange/index series not yet recorded,,,external validation only,log_mad,950875.3648027967,1.4826,628,216329,634,6,215695,,,950875.3648027967,6.0,0.0029307212625214
1979,PNAD,V2517,167.0,9.0,,,,https://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_anual/microdados/1979/,,DOM1979.*,1,999999999.0,1.0,cruzeiro-Cr$,28.792,129.16667,3.3581316294675707,4.358131629467571,False,income_raw / income_scale_divisor,renda / exchange * inflation_factor_2025,Stage 00 metadata; documentary provenance of historical exchange/index series not yet recorded,,,external validation only,log_mad,1425020.1114974446,1.4826,0,170807,0,0,170807,,,1425020.1114974446,6.0,0.0
1981,PNAD,V5010,223.0,7.0,V9329,219.0,2.0,https://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_anual/microdados/1981/,,DOM1981.*,1,9999999.0,1.0,cruzeiro-Cr$,105.284,161.63194,2.4827605855624824,3.4827605855624824,True,income_raw / income_scale_divisor / member_count,renda / exchange * inflation_factor_2025,Stage 00 metadata; documentary provenance of historical exchange/index series not yet recorded,,0.57864045464,external validation only,log_mad,2379648.5912030186,1.4826,0,472198,0,0,472198,,,2379648.5912030186,6.0,0.0
1982,PNAD,V602,199.0,7.0,,,,https://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_anual/microdados/1982/,,DOM1982.*,1,9999999.0,1.0,cruzeiro-Cr$,202.088,169.61806,2.318781915086164,3.318781915086164,False,income_raw / income_scale_divisor,renda / exchange * inflation_factor_2025,Stage 00 metadata; documentary provenance of historical exchange/index series not yet recorded,,0.583560943294,external validation only,log_mad,11904811.115266629,1.4826,0,206845,0,0,206845,,,11904811.115266629,6.0,0.0
1983,PNAD,V5010,223.0,7.0,V9329,219.0,2.0,https://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_anual/microdados/1983/,1983.0,PND83RM*.DAT,8,9999999.0,1.0,cruzeiro-Cr$,701.381,174.30556,2.2295318060995872,3.2295318060995872,True,income_raw / income_scale_divisor / member_count,renda / exchange * inflation_factor_2025,Stage 00 metadata; documentary provenance of historical exchange/index series not yet recorded,,0.589039744859,external validation only,log_mad,11743975.755541047,1.4826,0,499797,0,0,499797,,,11743975.755541047,6.0,0.0
1984,PNAD,V5010,223.0,7.0,V9329,219.0,2.0,https://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_anual/microdados/1984/,,DOM1984.*,1,9999999.0,1.0,cruzeiro-Cr$,2203.947,181.77083,2.096895965100671,3.096895965100671,True,income_raw / income_scale_divisor / member_count,renda / exchange * inflation_factor_2025,Stage 00 metadata; documentary provenance of historical exchange/index series not yet recorded,,0.582991179841,external validation only,log_mad,28573846.60499029,1.4826,0,504543,0,0,504543,,,28573846.60499029,6.0,0.0
1985,PNAD,V5010,248.0,9.0,V9329,244.0,2.0,https://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_anual/microdados/1985/,,DOM1985.*,1,999999999.0,1.0,cruzeiro-Cr$,7461.667,187.67361,1.999491244400318,2.999491244400318,True,income_raw / income_scale_divisor / member_count,renda / exchange * inflation_factor_2025,Stage 00 metadata; documentary provenance of historical exchange/index series not yet recorded,,0.555264216911,external validation only,min_log_mad_p99_exception,133769200.6337102,1.4826,0,514137,5142,5142,508995,3945001.7600001856,0.99,3945001.7600001856,6.0,0.0100012253543316
1986,PNAD,V5010,256.0,9.0,V9329,252.0,2.0,https://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_anual/microdados/1986/,,DOM1986.*,1,999999999.0,1.0,cruzado-Cz$,13.84,190.97222,1.9476818670275708,2.947681867027571,True,income_raw / income_scale_divisor / member_count,renda / exchange * inflation_factor_2025,Stage 00 metadata; documentary provenance of historical exchange/index series not yet recorded,,0.584328977746,external validation only,log_mad,343586.9585552404,1.4826,0,284142,0,0,284142,,,343586.9585552404,6.0,0.0
