year,gdp_growth_pct,indicator,source
1978,4.96989768924738,NY.GDP.MKTP.KD.ZG,World Bank/WDI
1979,6.7595601220408,NY.GDP.MKTP.KD.ZG,World Bank/WDI
1980,9.19999999999976,NY.GDP.MKTP.KD.ZG,World Bank/WDI
1981,-4.24999999999956,NY.GDP.MKTP.KD.ZG,World Bank/WDI
1982,0.829999999999529,NY.GDP.MKTP.KD.ZG,World Bank/WDI
1983,-2.92999999999996,NY.GDP.MKTP.KD.ZG,World Bank/WDI
1984,5.39999999999988,NY.GDP.MKTP.KD.ZG,World Bank/WDI
1985,7.85000000000042,NY.GDP.MKTP.KD.ZG,World Bank/WDI
1986,7.48999999999982,NY.GDP.MKTP.KD.ZG,World Bank/WDI
1987,3.52999999999983,NY.GDP.MKTP.KD.ZG,World Bank/WDI
1988,-0.059999999999917,NY.GDP.MKTP.KD.ZG,World Bank/WDI
1989,3.16000000000032,NY.GDP.MKTP.KD.ZG,World Bank/WDI
1990,-4.35000000000022,NY.GDP.MKTP.KD.ZG,World Bank/WDI
1991,1.03218958549303,NY.GDP.MKTP.KD.ZG,World Bank/WDI
1992,-0.54407204977727,NY.GDP.MKTP.KD.ZG,World Bank/WDI
1993,4.9246900037071,NY.GDP.MKTP.KD.ZG,World Bank/WDI
1994,5.85287036219013,NY.GDP.MKTP.KD.ZG,World Bank/WDI
1995,4.22379363350413,NY.GDP.MKTP.KD.ZG,World Bank/WDI
1996,2.20886405039022,NY.GDP.MKTP.KD.ZG,World Bank/WDI
1997,3.39484598630671,NY.GDP.MKTP.KD.ZG,World Bank/WDI
1998,0.338097901207306,NY.GDP.MKTP.KD.ZG,World Bank/WDI
1999,0.467937566477133,NY.GDP.MKTP.KD.ZG,World Bank/WDI
2000,4.38794944745618,NY.GDP.MKTP.KD.ZG,World Bank/WDI
2001,1.38989640095637,NY.GDP.MKTP.KD.ZG,World Bank/WDI
2002,3.05346185909312,NY.GDP.MKTP.KD.ZG,World Bank/WDI
2003,1.14082899824888,NY.GDP.MKTP.KD.ZG,World Bank/WDI
2004,5.75996463670954,NY.GDP.MKTP.KD.ZG,World Bank/WDI
2005,3.20213206130431,NY.GDP.MKTP.KD.ZG,World Bank/WDI
2006,3.96198871122617,NY.GDP.MKTP.KD.ZG,World Bank/WDI
2007,6.06987060678338,NY.GDP.MKTP.KD.ZG,World Bank/WDI
2008,5.09419544658736,NY.GDP.MKTP.KD.ZG,World Bank/WDI
2009,-0.125812002161169,NY.GDP.MKTP.KD.ZG,World Bank/WDI
2010,7.52822581815364,NY.GDP.MKTP.KD.ZG,World Bank/WDI
2011,3.97442307944702,NY.GDP.MKTP.KD.ZG,World Bank/WDI
2012,1.92117598576537,NY.GDP.MKTP.KD.ZG,World Bank/WDI
2013,3.00482266944432,NY.GDP.MKTP.KD.ZG,World Bank/WDI
2014,0.503955740242247,NY.GDP.MKTP.KD.ZG,World Bank/WDI
2015,-3.54576339269425,NY.GDP.MKTP.KD.ZG,World Bank/WDI
2016,-3.27591690782192,NY.GDP.MKTP.KD.ZG,World Bank/WDI
2017,1.32286905404399,NY.GDP.MKTP.KD.ZG,World Bank/WDI
2018,1.783666761634,NY.GDP.MKTP.KD.ZG,World Bank/WDI
2019,1.22077782360842,NY.GDP.MKTP.KD.ZG,World Bank/WDI
2020,-3.2767587964736,NY.GDP.MKTP.KD.ZG,World Bank/WDI
2021,4.76260437908608,NY.GDP.MKTP.KD.ZG,World Bank/WDI
2022,3.01669435393015,NY.GDP.MKTP.KD.ZG,World Bank/WDI
2023,3.24165532906981,NY.GDP.MKTP.KD.ZG,World Bank/WDI
2024,3.41931516501906,NY.GDP.MKTP.KD.ZG,World Bank/WDI
2025,2.2857464902475,NY.GDP.MKTP.KD.ZG,World Bank/WDI
