year,paper_currency,paper_exchange_rate_per_usd,paper_mean_income_usd,paper_gompertz_A,paper_gompertz_A_se,paper_gompertz_B,paper_gompertz_B_se,paper_gompertz_x_gmax,paper_gompertz_corr,paper_gompertz_population_pct,paper_pareto_x_pmin,paper_transition_x_t,paper_transition_x_t_se,paper_pareto_alpha_ls,paper_pareto_alpha_ls_se,paper_pareto_beta_ls,paper_pareto_beta_ls_se,paper_pareto_alpha_mle,paper_pareto_alpha_mle_se,paper_pareto_beta_mle,paper_pareto_beta_mle_se,paper_pareto_corr_lsf,paper_pareto_population_pct,paper_gompertz_income_share_pct,paper_pareto_income_share_pct,paper_gini,paper_pareto_population_pct_lower,paper_pareto_population_pct_upper
1978,cruzeiro - Cr$,19.05,132.503,1.52,0.01,0.46,0.01,6.606,0.997,98.9,40.0,23.3,16.7,2.44,0.11,4767.0,4236.0,2.94,0.06,10639,22543,0.981,,57.1,31.9,0.739,0.4,1.1
1979,cruzeiro - Cr$,28.793,122.531,1.54,0.01,0.44,0.01,6.92,0.997,98.9,40.0,23.5,16.5,3.09,0.17,49543.0,76479.0,3.09,0.09,17464,38230,0.973,,62.0,26.2,0.711,0.4,1.1
1981,cruzeiro - Cr$,105.284,88.201,1.55,0.01,0.34,0.02,7.533,0.992,98.9,7.533,7.533,0.0,3.52,0.09,2071.0,781.0,2.84,0.11,444,100,0.993,1.1,87.7,12.3,0.574,1.1,1.1
1982,cruzeiro - Cr$,202.089,94.505,1.55,0.01,0.34,0.02,7.473,0.993,98.9,7.473,7.473,0.0,2.53,0.04,150.5,20.8,2.68,0.06,316,40,0.997,1.1,87.2,12.8,0.581,1.1,1.1
1983,cruzeiro - Cr$,701.388,56.786,1.54,0.01,0.33,0.01,6.91,0.996,98.7,6.91,6.91,0.0,3.03,0.08,655.6,186.6,2.64,0.05,263,26,0.992,1.3,85.5,14.5,0.584,1.3,1.3
1984,cruzeiro - Cr$,2203.96,51.764,1.55,0.01,0.33,0.01,7.388,0.994,98.9,7.388,7.388,0.0,3.5,0.07,1870.0,451.0,2.84,0.11,441,97,0.996,1.1,87.2,12.8,0.576,1.1,1.1
1985,cruzeiro - Cr$,7461.575,58.039,1.54,0.01,0.33,0.01,7.49,0.996,98.9,7.49,7.49,0.0,3.15,0.1,1112.0,382.0,2.66,0.05,312,34,0.99,1.1,85.8,14.2,0.589,1.1,1.1
1986,cruzado - Cz$,13.84,91.306,1.55,0.01,0.34,0.01,7.112,0.995,98.8,7.112,7.112,0.0,2.11,0.07,57.84,12.52,2.57,0.03,234,17,0.987,1.2,85.2,14.8,0.58,1.2,1.2
1987,cruzado - Cz$,49.866,75.687,1.55,0.01,0.34,0.02,7.626,0.992,98.9,7.626,7.626,0.0,2.43,0.06,153.6,26.7,2.72,0.07,360,55,0.996,1.1,85.9,14.1,0.592,1.1,1.1
1988,cruzado - Cz$,326.233,87.276,1.54,0.01,0.32,0.02,8.14,0.992,98.9,8.14,8.14,0.0,3.06,0.13,983.7,446.1,2.87,0.12,585,153,0.991,1.1,85.4,14.6,0.609,1.1,1.1
