ano,var_renda,pos_renda,tam_renda,var_morador,pos_morador,tam_morador,link,raw_subdir,raw_pattern,n_files,missing_renda,Currency,Exchange,Index,Adjust2025,Inflation
1976,V2954,227.0,9.0,,,,https://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_anual/microdados/1976/,,DOM1976.*,1,9999999.0,cruzeiro-Cr$,11.313,100.0,4.6292535,5.6292535
1977,V131,288.0,9.0,,,,https://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_anual/microdados/1977/,,DOM1977.*,1,999999999.0,cruzeiro-Cr$,14.93,106.42361,4.28947805848721,5.28947805848721
1978,V2541,214.0,9.0,,,,https://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_anual/microdados/1978/,,DOM1978.*,1,999999999.0,cruzeiro-Cr$,19.05,115.45139,3.875864638788671,4.875864638788671
1979,V2517,167.0,9.0,,,,https://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_anual/microdados/1979/,,DOM1979.*,1,999999999.0,cruzeiro-Cr$,28.792,129.16667,3.3581316294675707,4.358131629467571
1980,,,,,,,,,,0,,cruzeiro-Cr$,,,,
1981,V5010,223.0,7.0,V9329,219.0,2.0,https://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_anual/microdados/1981/,,DOM1981.*,1,9999999.0,cruzeiro-Cr$,105.284,161.63194,2.4827605855624824,3.4827605855624824
1982,V602,199.0,7.0,,,,https://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_anual/microdados/1982/,,DOM1982.*,1,9999999.0,cruzeiro-Cr$,202.088,169.61806,2.318781915086164,3.318781915086164
1983,V5010,223.0,7.0,V9329,219.0,2.0,https://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_anual/microdados/1983/,1983,PND83RM*.DAT,8,9999999.0,cruzeiro-Cr$,701.381,174.30556,2.2295318060995872,3.2295318060995872
1984,V5010,223.0,7.0,V9329,219.0,2.0,https://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_anual/microdados/1984/,,DOM1984.*,1,9999999.0,cruzeiro-Cr$,2203.947,181.77083,2.096895965100671,3.096895965100671
1985,V5010,248.0,9.0,V9329,244.0,2.0,https://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_anual/microdados/1985/,,DOM1985.*,1,999999999.0,cruzeiro-Cr$,7461.667,187.67361,1.9994912444003181,2.999491244400318
1986,V5010,256.0,9.0,V9329,252.0,2.0,https://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_anual/microdados/1986/,,DOM1986.*,1,999999999.0,cruzado-Cz$,13.84,190.97222,1.9476818670275708,2.947681867027571
1987,V5010,248.0,9.0,V9329,244.0,2.0,https://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_anual/microdados/1987/,,DOM1987.*,1,999999999.0,cruzado-Cz$,49.866,199.13194,1.826896328132996,2.826896328132996
1988,V5010,248.0,9.0,V9329,244.0,2.0,https://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_anual/microdados/1988/,1988,PND88RM*.DAT,8,999999999.0,cruzado-Cz$,326.235,207.46528,1.7133472646603805,2.7133472646603805
1989,V5010,249.0,9.0,V9329,245.0,2.0,https://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_anual/microdados/1989/,,DOM1989.*,1,999999999.0,cruzado novo-NCz$,3.267,216.66667,1.5981169600289697,2.5981169600289697
1990,V5010,56.0,9.0,V9329,244.0,2.0,https://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_anual/microdados/1990/PND1990N.DAT,,DOM1990.*,1,999999999.0,cruzeiro-Cr$,75.541,230.03472,1.4471321111873894,2.4471321111873894
1991,,,,,,,,,,0,,cruzeiro-Cr$,,,,
1992,V4614,139.0,12.0,V0105,15.0,2.0,https://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_anual/microdados/1992/,,DOM1992.*,1,999999999999.0,cruzeiro-Cr$,5771.524,244.96528,1.2979801464109526,2.2979801464109526
1993,V4614,139.0,12.0,V0105,15.0,2.0,https://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_anual/microdados/1993/,,DOM1993.*,1,999999999999.0,cruzeiro real-CR$,111.189,251.73611,1.2361724346975884,2.2361724346975884
1994,,,,,,,,,,0,,Real R$,,,,
1995,V4614,139.0,12.0,V0105,15.0,2.0,https://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_anual/microdados/1995/,,DOM1995.*,1,999999999999.0,Real R$,0.9528,265.79861,1.1178641603881978,2.117864160388198
1996,V4614,139.0,12.0,V0105,15.0,2.0,https://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_anual/microdados/1996/,,DOM1996.*,1,999999999999.0,Real R$,1.0193,273.78472,1.0560875347608882,2.0560875347608882
1997,V4614,139.0,12.0,V0105,15.0,2.0,https://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_anual/microdados/1997/,,DOM1997.*,1,999999999999.0,Real R$,1.0936,279.86111,1.011445427340726,2.011445427340726
1998,V4614,142.0,12.0,V0105,15.0,2.0,https://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_anual/microdados/1998/,,DOM1998.*,1,999999999999.0,Real R$,1.1809,283.85417,0.9831498335923687,1.9831498335923687
1999,V4614,142.0,12.0,V0105,15.0,2.0,https://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_anual/microdados/1999/,,DOM1999.*,1,999999999999.0,Real R$,1.8981,291.31944,0.9323301939616526,1.9323301939616526
2000,,,,,,,,,,0,,Real R$,,,,
2001,V4614,146.0,12.0,V0105,17.0,2.0,https://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_anual/microdados/reponderacao_2001_2012/PNAD_reponderado_2001.zip,,DOM2001.*,1,999999999999.0,Real R$,2.6717,309.20139,0.820578329224199,1.820578329224199
2002,V4614,153.0,12.0,V0105,17.0,2.0,https://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_anual/microdados/reponderacao_2001_2012/PNAD_reponderado_2002.zip,,DOM2002.*,1,999999999999.0,Real R$,3.342,313.88889,0.7933904892269363,1.7933904892269363
2003,V4614,153.0,12.0,V0105,17.0,2.0,https://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_anual/microdados/reponderacao_2001_2012/PNAD_reponderado_2003_20150814.zip,,DOM2003.*,1,999999999999.0,Real R$,2.9228,321.35417,0.7517287857195067,1.7517287857195067
2004,V4621,239.0,12.0,,,,https://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_anual/microdados/reponderacao_2001_2012/PNAD_reponderado_2004.zip,,DOM2004.*,1,999999999999.0,Real R$,2.8911,329.51389,0.70835089834908,1.70835089834908
2005,V4621,181.0,12.0,,,,https://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_anual/microdados/reponderacao_2001_2012/PNAD_reponderado_2005.zip,,DOM2005.*,1,999999999999.0,Real R$,2.2944,345.13889,0.6310110691959401,1.63101106919594
2006,V4621,181.0,12.0,,,,https://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_anual/microdados/reponderacao_2001_2012/PNAD_reponderado_2006.zip,,DOM2006.*,1,999999999999.0,Real R$,2.1687,352.08333,0.5988412459061894,1.5988412459061894
2007,V4621,179.0,12.0,,,,https://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_anual/microdados/reponderacao_2001_2012/PNAD_reponderado_2007_20150814.zip,,DOM2007.*,1,999999999999.0,Real R$,1.8996,362.06076,0.5547814405515803,1.5547814405515803
