,ano,arquivos,n_raw,n_refined,per_capita,output
0,1976,1,148884,148396,False,pnad_refined_1976.parquet
1,1977,1,193886,193886,False,pnad_refined_1977.parquet
2,1978,1,216329,216329,False,pnad_refined_1978.parquet
3,1979,1,171371,171371,False,pnad_refined_1979.parquet
4,1981,1,482611,472198,True,pnad_refined_1981.parquet
5,1982,1,207745,206845,False,pnad_refined_1982.parquet
6,1983,8,512016,499797,True,pnad_refined_1983.parquet
7,1984,1,514866,504543,True,pnad_refined_1984.parquet
8,1985,1,523632,514137,True,pnad_refined_1985.parquet
9,1986,1,289783,284142,True,pnad_refined_1986.parquet
10,1987,1,299704,292615,True,pnad_refined_1987.parquet
11,1988,8,298368,289633,True,pnad_refined_1988.parquet
12,1989,1,371667,113568,True,pnad_refined_1989.parquet
13,1990,1,378968,115785,True,pnad_refined_1990.parquet
14,1992,1,94171,76440,True,pnad_refined_1992.parquet
15,1993,1,96820,77843,True,pnad_refined_1993.parquet
16,1995,1,102787,83455,True,pnad_refined_1995.parquet
17,1996,1,105059,82551,True,pnad_refined_1996.parquet
18,1997,1,109541,87988,True,pnad_refined_1997.parquet
19,1998,1,112434,88562,True,pnad_refined_1998.parquet
20,1999,1,115654,91737,True,pnad_refined_1999.parquet
21,2001,1,126858,101423,True,pnad_refined_2001.parquet
22,2002,1,105984,103915,True,pnad_refined_2002.parquet
23,2003,1,107846,105676,True,pnad_refined_2003.parquet
24,2004,1,112716,110351,False,pnad_refined_2004.parquet
25,2005,1,116452,114576,False,pnad_refined_2005.parquet
26,2006,1,118590,116334,False,pnad_refined_2006.parquet
27,2007,1,117858,115112,False,pnad_refined_2007.parquet
28,2008,1,118138,114822,False,pnad_refined_2008.parquet
29,2009,1,121163,117827,False,pnad_refined_2009.parquet
30,2011,1,111986,106449,False,pnad_refined_2011.parquet
31,2012,1,114906,110509,False,pnad_refined_2012.parquet
32,2013,1,116543,111029,False,pnad_refined_2013.parquet
33,2014,1,119001,115021,False,pnad_refined_2014.parquet
34,2015,1,117939,115626,False,pnad_refined_2015.parquet
35,2016,1,229889,229889,False,pnad_refined_2016.parquet
36,2017,1,228566,228566,False,pnad_refined_2017.parquet
37,2018,1,227265,227265,False,pnad_refined_2018.parquet
38,2019,1,225221,225221,False,pnad_refined_2019.parquet
39,2020,1,132967,132967,False,pnad_refined_2020.parquet
40,2021,1,172588,172588,False,pnad_refined_2021.parquet
41,2022,1,205341,205341,False,pnad_refined_2022.parquet
42,2023,1,201858,201858,False,pnad_refined_2023.parquet
43,2024,1,208303,208303,False,pnad_refined_2024.parquet
44,2025,1,215405,215405,False,pnad_refined_2025.parquet
