year,survey,available,income_variable,income_start,income_width,household_size_variable,household_size_start,household_size_width,effective_income_variable,effective_income_start,effective_income_width,raw_file_pattern,missing_income_code,divide_by_household_size,currency,exchange,price_index,inflation_to_2025,source_url
1976,PNAD,True,V2954,227.0,9.0,,,,,,,DOM1976.txt,9999999.0,False,cruzeiro-Cr$,11.313,100.0,5.6292535,https://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_anual/microdados/1976/
1977,PNAD,True,V131,288.0,9.0,,,,,,,DOM1977.txt,999999999.0,False,cruzeiro-Cr$,14.93,106.42361,5.28947805848721,https://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_anual/microdados/1977/
1978,PNAD,True,V2541,214.0,9.0,,,,,,,DOM1978.txt,999999999.0,False,cruzeiro-Cr$,19.05,115.45139,4.875864638788671,https://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_anual/microdados/1978/
1979,PNAD,True,V2517,167.0,9.0,,,,,,,DOM1979.txt,999999999.0,False,cruzeiro-Cr$,28.792,129.16667,4.358131629467571,https://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_anual/microdados/1979/
1980,PNAD,False,,,,,,,,,,,,False,cruzeiro-Cr$,,,,
1981,PNAD,True,V5010,223.0,7.0,V9329,219.0,2.0,,,,DOM1981.txt,9999999.0,True,cruzeiro-Cr$,105.284,161.63194,3.4827605855624824,https://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_anual/microdados/1981/
1982,PNAD,True,V602,199.0,7.0,,,,,,,DOM1982.txt,9999999.0,False,cruzeiro-Cr$,202.088,169.61806,3.318781915086164,https://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_anual/microdados/1982/
1983,PNAD,True,V5010,223.0,7.0,V9329,219.0,2.0,,,,1983/PND83RM*.DAT,9999999.0,True,cruzeiro-Cr$,701.381,174.30556,3.2295318060995872,https://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_anual/microdados/1983/
1984,PNAD,True,V5010,223.0,7.0,V9329,219.0,2.0,,,,DOM1984.txt,9999999.0,True,cruzeiro-Cr$,2203.947,181.77083,3.096895965100671,https://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_anual/microdados/1984/
1985,PNAD,True,V5010,248.0,9.0,V9329,244.0,2.0,,,,DOM1985.txt,999999999.0,True,cruzeiro-Cr$,7461.667,187.67361,2.999491244400318,https://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_anual/microdados/1985/
