ano,ipea,banco_mundial
1981,,0.57864045464
1982,,0.583560943294
1983,,0.589039744859
1984,,0.582991179841
1985,,0.555264216911
1986,,0.584328977746
1987,,0.596431493876
1988,,0.613722993924
1989,,0.63245782638
1990,,0.60450872928
1992,,0.531034170544
1993,,0.600668969317
1995,0.615,0.595311943295
1996,0.616,0.598383767765
1997,0.616,0.597547175783
1998,0.614,0.595662519999
1999,0.608,0.589512228762
2001,0.61,0.58402876478
2002,0.603,0.58105672714
2003,0.596,0.575533879723
2004,0.585,0.56471825867
2005,0.582,0.563101304494
2006,0.575,0.556422105694
2007,0.568,0.549191681065
2008,0.558,0.540375889542
2009,0.554,0.536820020289
2011,0.543,0.529417718899
2012,0.54,0.534459752729
2013,0.532,0.527108703138
2014,0.526,0.52051631641
2015,0.524,0.519366717318
2016,0.537,0.533623062525
2017,0.539,0.53286657297
2018,0.545,0.538905021683
2019,0.543,0.534758476099
2020,0.523,0.488220629536
2021,0.544,0.528508850596
2022,0.517,0.518944401741
2023,0.517,0.514862434537
2024,0.504,0.502581211667
2025,0.511,
